
Dish,Cuisine,BasePrepTime,TimeMultiplier,Category
French Fries Spicy,Continental,30,1.19,Main Course
Banh Mi Spicy,Vietnamese,24,1.48,Starter
Chow Mein Special,Chinese,27,1.4,Starter
Pasta Alfredo Classic,Italian,18,0.82,Dessert
Fried Chicken Classic,American,19,1.44,Dessert
Tom Yum Soup Special,Thai,20,1.11,Dessert
Souvlaki Spicy,Greek,10,1.25,Dessert
Tacos,Mexican,9,1.28,Dessert
Souvlaki Special,Greek,18,1.49,Starter
Fried Rice Classic,Chinese,11,0.99,Dessert
Hot Dog Classic,American,17,1.49,Beverage
Fried Chicken Spicy,American,17,0.86,Dessert
Bun Cha,Vietnamese,29,1.19,Starter
Dim Sum Spicy,Chinese,9,1.29,Beverage
Tiramisu Classic,Italian,20,1.26,Starter
Gulab Jamun Classic,Indian,12,1.05,Dessert
Miso Soup Deluxe,Japanese,29,1.43,Starter
Mango Sticky Rice Spicy,Thai,27,1.03,Dessert
Tacos Special,Mexican,10,1.3,Starter
Margherita Pizza Special,Italian,26,1.0,Dessert
Quesadilla Classic,Mexican,8,1.19,Dessert
Pho Spicy,Vietnamese,19,1.22,Starter
Tempura Deluxe,Japanese,16,1.36,Beverage
Tom Yum Soup Special,Thai,29,0.96,Dessert
Spring Rolls,Vietnamese,23,1.14,Main Course
Chow Mein,Chinese,10,1.48,Main Course
Mango Sticky Rice,Thai,23,1.22,Beverage
Lasagna Deluxe,Italian,28,1.11,Dessert
Paneer Butter Masala Special,Indian,26,0.89,Dessert
Apple Pie,American,24,1.04,Starter
Pad Thai Spicy,Thai,20,1.08,Main Course
Green Curry Classic,Thai,26,1.13,Dessert
Dim Sum Deluxe,Chinese,26,0.85,Main Course
Pad Thai Special,Thai,28,0.81,Starter
Chicken Biryani,Indian,26,1.16,Main Course
Baklava Classic,Greek,27,1.14,Dessert
Satay Spicy,Thai,17,0.99,Main Course
Burrito Deluxe,Mexican,21,0.93,Main Course
Grilled Chicken Classic,Continental,19,1.05,Starter
Dal Tadka Deluxe,Indian,14,1.05,Dessert
Bun Cha,Vietnamese,14,1.07,Starter
Spring Rolls Deluxe,Chinese,22,0.82,Starter
Grilled Chicken Classic,Continental,16,0.84,Main Course
Gulab Jamun Deluxe,Indian,20,0.96,Starter
Tiramisu Classic,Italian,29,1.5,Beverage
Pasta Alfredo Classic,Italian,8,1.21,Main Course
Dal Tadka,Indian,13,1.25,Main Course
Tiramisu Classic,Italian,11,1.39,Beverage
Baklava,Greek,26,0.93,Dessert
Gulab Jamun Classic,Indian,23,0.81,Beverage
Mango Sticky Rice Classic,Thai,20,1.2,Beverage
Tacos Spicy,Mexican,12,1.23,Dessert
Churros Deluxe,Mexican,10,1.32,Beverage
Gulab Jamun Deluxe,Indian,14,1.0,Beverage
Gulab Jamun Spicy,Indian,19,0.96,Beverage
Baklava Spicy,Greek,22,1.06,Dessert
Green Curry Special,Thai,21,0.9,Main Course
Fried Chicken Special,American,21,1.43,Beverage
Moussaka Deluxe,Greek,16,1.09,Beverage
Banh Mi,Vietnamese,26,1.42,Starter
Pad Thai Spicy,Thai,26,1.17,Starter
Miso Soup,Japanese,11,0.95,Dessert
Baklava Spicy,Greek,24,0.98,Dessert
Dim Sum,Chinese,23,1.07,Beverage
Nachos Special,Mexican,27,0.92,Main Course
Souvlaki Special,Greek,14,0.89,Dessert
Paneer Butter Masala Deluxe,Indian,20,1.2,Dessert
Green Curry Special,Thai,16,0.91,Beverage
Quesadilla Deluxe,Mexican,19,0.87,Beverage
French Fries Special,Continental,11,1.42,Dessert
Butter Naan Spicy,Indian,28,1.25,Dessert
French Fries Deluxe,Continental,15,0.85,Dessert
Hot Dog Deluxe,American,22,1.26,Beverage
Miso Soup Classic,Japanese,19,1.34,Main Course
Fried Chicken Deluxe,American,15,1.09,Dessert
Tiramisu,Italian,27,0.85,Dessert
Bun Cha Deluxe,Vietnamese,17,1.17,Dessert
